model,acc,sparsity,best_acc
0,0.9331,0.09474292802433221,0
1,0.9323,0.18317205928840247,0
2,0.934,0.2655051224299744,0
3,0.9323,0.3419598460868116,0
4,0.9333,0.4127539588966778,0
5,0.9305,0.47810518949733655,0
6,0.9318,0.5382311997795748,0
7,0.9268,0.5933497183811562,0
8,0.9301,0.6436784739398445,0
9,0.9035,0.689435195093403,0
10,0.8538,0.7308376104795957,0
11,0.8846,0.7681033819892095,0
12,0.7998,0.8014503050069844,0
13,0.6214,0.8310960414237076,0
14,0.4512,0.8572582531301662,0
15,0.1002,0.8801547355111002,0
16,0.1262,0.9000032172042736,0
17,0.1001,0.9170213601004729,0
18,0.1037,0.9314269595844387,0
19,0.122,0.9434376775469578,0
20,0.0827,0.9532711758788174,0
21,0.1231,0.9611452499647576,0
22,0.1053,0.9672775616955654,0
23,0.2638,0.9718859064559812,0
24,0.1716,0.9751879461367918,0
25,0.6533,0.9774014093757609,0
26,0.8545,0.9787440248106521,0
27,0.8839,0.9794334543322526,0
