model,acc,sparsity
0,0.5601,0.09474277858927135
1,0.5573,0.18317178436851686
2,0.5598,0.26550473136034547
3,0.5566,0.3419593335873661
4,0.5574,0.41275330507218766
5,0.5501,0.478104359837419
6,0.5473,0.5382302780600364
7,0.5442,0.5933487076082815
8,0.5418,0.6436773625047632
9,0.5341,0.6894340229264575
10,0.5312,0.7308363367416063
11,0.5345,0.7681020841271857
12,0.5285,0.8014489129514374
13,0.5282,0.8310946033913374
14,0.524,0.8572568033151277
15,0.5242,0.8801532928997841
16,0.5189,0.9000017200135484
17,0.5223,0.9170198648333968
18,0.5091,0.9314253752275711
19,0.5037,0.9434360313730471
20,0.5068,0.9532695472924341
21,0.4949,0.9611435708539735
22,0.4813,0.9672758822346416
23,0.4767,0.9718841954570473
24,0.4679,0.9751862245437994
25,0.4664,0.9773996835175071
26,0.4641,0.978742286400779
27,0.4642,0.9794317472162243
28,0.4703,0.9796857799864516
29,0.4705,0.97972209873407
