rep,algorithm,N_ITER,prune_amt,Accuracy,Sparsity
1,causalpruner,1,0.1,0.9157,0.09971289752650177
1,causalpruner,1,0.3,0.9069,0.299135011778563
1,causalpruner,1,0.5,0.9089,0.49855712603062424
1,causalpruner,1,0.7,0.8902,0.6979792402826855
1,causalpruner,1,0.9,0.8508,0.8974013545347468
1,causalpruner,1,0.95,0.8088,0.9472578032979977
1,causalpruner,1,0.98,0.7242,0.9771716725559482
1,causalpruner,10,0.1,0.9211,0.0997055359246172
1,causalpruner,10,0.3,0.9154,0.2991276501766785
1,causalpruner,10,0.5,0.9127,0.49855712603062424
1,causalpruner,10,0.7,0.8957,0.6979792402826855
1,causalpruner,10,0.9,0.8616,0.8974013545347468
1,causalpruner,10,0.95,0.8368,0.9472578032979977
1,causalpruner,10,0.98,0.7874,0.9771716725559482
1,magpruner,10,0.1,0.9152,0.0997055359246172
1,magpruner,10,0.3,0.9103,0.299135011778563
1,magpruner,10,0.5,0.9042,0.49855712603062424
1,magpruner,10,0.7,0.8948,0.6979792402826855
1,magpruner,10,0.9,0.8814,0.8974013545347468
1,magpruner,10,0.95,0.8667,0.9472578032979977
2,causalpruner,1,0.1,0.9146,0.09971289752650177
2,causalpruner,1,0.3,0.9116,0.299135011778563
2,causalpruner,1,0.5,0.9083,0.49855712603062424
2,causalpruner,1,0.7,0.8908,0.6979792402826855
2,causalpruner,1,0.9,0.8477,0.8974013545347468
2,causalpruner,1,0.95,0.8165,0.9472578032979977
2,causalpruner,1,0.98,0.7474,0.9771716725559482
2,causalpruner,10,0.1,0.9192,0.0997055359246172
2,causalpruner,10,0.3,0.9159,0.2991276501766785
2,causalpruner,10,0.5,0.9081,0.49855712603062424
2,causalpruner,10,0.7,0.894,0.6979792402826855
2,causalpruner,10,0.9,0.8655,0.8974013545347468
2,causalpruner,10,0.95,0.841,0.9472578032979977
2,causalpruner,10,0.98,0.7908,0.9771716725559482
2,magpruner,10,0.1,0.9168,0.0997055359246172
2,magpruner,10,0.3,0.9129,0.299135011778563
2,magpruner,10,0.5,0.9086,0.49855712603062424
2,magpruner,10,0.7,0.8928,0.6979792402826855
2,magpruner,10,0.9,0.8804,0.8974013545347468
2,magpruner,10,0.95,0.8674,0.9472578032979977
