N_PRE,N_ITER,N_EPOCH_PRUNE,PRUNE_AMT,Accuracy,Sparsity
0,1,5,0.9,0.8608,0.8974013545347468
0,1,5,0.98,0.1,0.9771716725559482
0,1,10,0.9,0.8615,0.8974013545347468
0,1,10,0.98,0.4208,0.9771716725559482
0,1,20,0.9,0.8698,0.8974013545347468
0,1,20,0.98,0.3457,0.9771716725559482
0,5,5,0.9,0.8576,0.8974013545347468
0,5,5,0.98,0.7808,0.9771716725559482
0,5,10,0.9,0.8717,0.8974013545347468
0,5,10,0.98,0.7789,0.9771716725559482
0,5,20,0.9,0.8718,0.8974013545347468
0,5,20,0.98,0.7765,0.9771716725559482
0,10,5,0.9,0.8624,0.8974013545347468
0,10,5,0.98,0.7879,0.9771716725559482
0,10,10,0.9,0.8702,0.8974013545347468
0,10,10,0.98,0.789,0.9771716725559482
0,10,20,0.9,0.8666,0.8974013545347468
0,10,20,0.98,0.7885,0.9771716725559482
0,20,5,0.9,0.8605,0.8973976737338045
0,20,5,0.98,0.7854,0.9771716725559482
0,20,10,0.9,0.8634,0.8973976737338045
0,20,10,0.98,0.7833,0.9771716725559482
0,20,20,0.9,0.8784,0.8973976737338045
0,20,20,0.98,0.7617,0.9771716725559482
10,1,5,0.9,0.8508,0.8974013545347468
10,1,5,0.98,0.7343,0.9771716725559482
10,1,10,0.9,0.8575,0.8974013545347468
10,1,10,0.98,0.7098,0.9771716725559482
10,1,20,0.9,0.8659,0.8974013545347468
10,1,20,0.98,0.719,0.9771716725559482
10,5,5,0.9,0.856,0.8974013545347468
10,5,5,0.98,0.7896,0.9771716725559482
10,5,10,0.9,0.8722,0.8974013545347468
10,5,10,0.98,0.7765,0.9771716725559482
10,5,20,0.9,0.8693,0.8974013545347468
10,5,20,0.98,0.774,0.9771716725559482
10,10,5,0.9,0.8598,0.8974013545347468
10,10,5,0.98,0.7785,0.9771716725559482
10,10,10,0.9,0.8724,0.8974013545347468
10,10,10,0.98,0.7839,0.9771716725559482
10,10,20,0.9,0.8734,0.8974013545347468
10,10,20,0.98,0.7852,0.9771716725559482
10,20,5,0.9,0.8662,0.8973976737338045
10,20,5,0.98,0.7773,0.9771716725559482
10,20,10,0.9,0.8741,0.8973976737338045
10,20,10,0.98,0.7903,0.9771716725559482
10,20,20,0.9,0.875,0.8973976737338045
10,20,20,0.98,0.7832,0.9771716725559482
20,1,5,0.9,0.8535,0.8974013545347468
20,1,5,0.98,0.7182,0.9771716725559482
20,1,10,0.9,0.8573,0.8974013545347468
20,1,10,0.98,0.7178,0.9771716725559482
20,1,20,0.9,0.8688,0.8974013545347468
20,1,20,0.98,0.7265,0.9771716725559482
20,5,5,0.9,0.8532,0.8974013545347468
20,5,5,0.98,0.7812,0.9771716725559482
20,5,10,0.9,0.8688,0.8974013545347468
20,5,10,0.98,0.7777,0.9771716725559482
20,5,20,0.9,0.8724,0.8974013545347468
20,5,20,0.98,0.77,0.9771716725559482
20,10,5,0.9,0.8628,0.8974013545347468
20,10,5,0.98,0.772,0.9771716725559482
20,10,10,0.9,0.8688,0.8974013545347468
20,10,10,0.98,0.7989,0.9771716725559482
20,10,20,0.9,0.8708,0.8974013545347468
20,10,20,0.98,0.8043,0.9771716725559482
20,20,5,0.9,0.8654,0.8973976737338045
20,20,5,0.98,0.7921,0.9771716725559482
20,20,10,0.9,0.8736,0.8973976737338045
20,20,10,0.98,0.8122,0.9771716725559482
20,20,20,0.9,0.8793,0.8973976737338045
20,20,20,0.98,0.7942,0.9771716725559482
30,1,5,0.9,0.8499,0.8974013545347468
30,1,5,0.98,0.5495,0.9771716725559482
30,1,10,0.9,0.8522,0.8974013545347468
30,1,10,0.98,0.6754,0.9771716725559482
30,1,20,0.9,0.8687,0.8974013545347468
30,1,20,0.98,0.7858,0.9771716725559482
30,5,5,0.9,0.8617,0.8974013545347468
30,5,5,0.98,0.7784,0.9771716725559482
30,5,10,0.9,0.8668,0.8974013545347468
30,5,10,0.98,0.7951,0.9771716725559482
30,5,20,0.9,0.871,0.8974013545347468
30,5,20,0.98,0.7933,0.9771716725559482
30,10,5,0.9,0.8625,0.8974013545347468
30,10,5,0.98,0.781,0.9771716725559482
30,10,10,0.9,0.8677,0.8974013545347468
30,10,10,0.98,0.8065,0.9771716725559482
30,10,20,0.9,0.8739,0.8974013545347468
30,10,20,0.98,0.7928,0.9771716725559482
30,20,5,0.9,0.8628,0.8973976737338045
30,20,5,0.98,0.7869,0.9771716725559482
30,20,10,0.9,0.8691,0.8973976737338045
30,20,10,0.98,0.8072,0.9771716725559482
30,20,20,0.9,0.8707,0.8973976737338045
30,20,20,0.98,0.7937,0.9771716725559482
